misspelling,correct,predicted,top1,top5,rr,edit_dist
chutaciqwa,chautauqua,catchy,0,0,0.0,4
chutouko,chautauqua,cts,0,0,0.0,5
cuhtawa,chautauqua,cut,0,0,0.0,6
quatauqua,chautauqua,quotas,0,0,0.0,3
schtaka,chautauqua,shaka,0,0,0.0,6
shatacua,chautauqua,stock,0,0,0.0,4
shatakiwa,chautauqua,stake,0,0,0.0,5
shataqua,chautauqua,stay,0,0,0.0,3
shautalkwa,chautauqua,stalk,0,0,0.0,4
shawtachwa,chautauqua,stock,0,0,0.0,5
shawtapwa,chautauqua,staff,0,0,0.0,5
shawtowa,chautauqua,said,0,0,0.0,6
sheto,chautauqua,she,0,0,0.0,5
shitaka,chautauqua,stake,0,0,0.0,6
showtalkaw,chautauqua,stalk,0,0,0.0,7
showtalkwa,chautauqua,stalk,0,0,0.0,6
showtucwa,chautauqua,stock,0,0,0.0,6
catauqua,chautauqua,chautauqua,1,1,1.0,2
chacactur,chautauqua,character,0,0,0.0,5
chatacuia,chautauqua,cts,0,1,0.25,4
chataqua,chautauqua,chautauqua,1,1,1.0,2
chataque,chautauqua,cts,0,1,0.3333333333333333,3
chatauchuia,chautauqua,chautauqua,1,1,1.0,4
chatauqua,chautauqua,chautauqua,1,1,1.0,1
chautaucua,chautauqua,chautauqua,1,1,1.0,1
chautauqua,chautauqua,chautauqua,1,1,1.0,0
chetickway,chautauqua,catchy,0,0,0.0,7
chictique,chautauqua,critique,0,0,0.0,5
chitacwa,chautauqua,city,0,0,0.0,5
chitiquea,chautauqua,cities,0,0,0.0,5
chituaquea,chautauqua,cities,0,1,0.5,4
chtoawa,chautauqua,cut,0,0,0.0,6
sechectaquka,chautauqua,suggests,0,0,0.0,6
shatakwa,chautauqua,stake,0,0,0.0,5
shtalkwa,chautauqua,stalk,0,0,0.0,6
sutalkway,chautauqua,stalk,0,0,0.0,7
crist,christ,christ,1,1,1.0,1
christain,christian,christian,1,1,1.0,1
chrismas,christmas,christmas,1,1,1.0,1
christ_mas,christmas,christmas,1,1,1.0,1
christmis,christmas,christmas,1,1,1.0,1
cristmus,christmas,christmas,1,1,1.0,2
cristmas,christmas,christmas,1,1,1.0,1
cinderrella,cinderella,cinderella,1,1,1.0,1
des.,dec,dlrs,0,0,0.0,2
decmber,december,december,1,1,1.0,1
desember,december,december,1,1,1.0,1
doc,dr,doc,0,0,0.0,2
draculla's,dracula's,dracula's,1,1,1.0,1
dunstan,dunstan's,dunstan's,1,1,1.0,2
ester,easter,ester,0,0,0.0,1
ester,easter,ester,0,0,0.0,1
estwood,eastwood,stood,0,1,0.5,1
ingish,english,english,1,1,1.0,2
inglish,english,english,1,1,1.0,1
fab,feb,fab,0,0,0.0,1
febuary,february,february,1,1,1.0,1
feburary,february,feburary,0,0,0.0,1
feburay,february,february,1,1,1.0,2
franch,french,french,1,1,1.0,1
feirne,french,from,0,0,0.0,5
fench,french,french,1,1,1.0,1
freach,french,reach,0,1,0.5,1
firday,friday,friday,1,1,1.0,1
hallowen,hallowe'en,hallowed,0,1,0.5,2
hitlar,hitler,hitler,1,1,1.0,1
a,i,a,0,0,0.0,1
and,i,and,0,0,0.0,3
are,i,are,0,0,0.0,3
has,i,has,0,0,0.0,3
he,i,he,0,0,0.0,2
i,i,i,1,1,1.0,0
if,i,if,0,0,0.0,1
is,i,is,0,0,0.0,1
it,i,it,0,0,0.0,1
iy,i,in,0,1,0.25,1
ld,i,ld,0,0,0.0,2
we,i,we,0,0,0.0,2
i'de,i'd,it,0,0,0.0,1
i'ed,i'd,it,0,0,0.0,1
i'ld,i'd,old,0,0,0.0,1
ile,i'll,ile,0,0,0.0,2
ill,i'll,ill,0,0,0.0,1
i'me,i'm,in,0,0,0.0,1
i'n,i'm,in,0,0,0.0,1
im,i'm,im,0,0,0.0,1
i'v,i've,in,0,0,0.0,1
iev,i've,in,0,0,0.0,2
indian's,indians,indian,0,1,0.5,1
irland,ireland,land,0,1,0.3333333333333333,1
iresh,irish,fresh,0,1,0.3333333333333333,1
januery,january,january,1,1,1.0,1
jaly,july,all,0,1,0.3333333333333333,1
jun,june,jun,0,0,0.0,1
lester,leicester,lester,0,0,0.0,3
las_angles,los_angeles,los_angeles,1,1,1.0,2
luks,luke's,loss,0,0,0.0,2
mayfeild,mayfield,mayfield,1,1,1.0,1
meditterranean,mediterranean,mediterranean,1,1,1.0,1
mis,miss,mis,0,0,0.0,1
munday,monday,monday,1,1,1.0,1
mis,mr,mis,0,0,0.0,2
mrs,mr,mrs,0,0,0.0,1
miss,mrs,miss,0,0,0.0,2
mixss,mrs,miss,0,0,0.0,3
mr's,mrs,mrs,1,1,1.0,1
mrss,mrs,mrs,1,1,1.0,1
octber,october,october,1,1,1.0,1
pikaness,pekinese,likeness,0,1,0.25,3
perllips,philip's,phillips,0,0,0.0,4
pyrannean,pyrenean,pyrenean,1,1,1.0,2
rowles,rolls,rules,0,0,0.0,2
samariton,samaritan,samaritan,1,1,1.0,1
saterday,saturday,saturday,1,1,1.0,1
satuarday,saturday,saturday,1,1,1.0,1
scotts,scots,scots,1,1,1.0,1
sep,sept,sep,0,0,0.0,1
septenber,september,september,1,1,1.0,1
septmber,september,september,1,1,1.0,1
shebre,sheba,there,0,0,0.0,2
spanich,spanish,spanish,1,1,1.0,1
sanday,sunday,sunday,1,1,1.0,1
sweedish,swedish,swedish,1,1,1.0,1
thems,thames,the,0,0,0.0,2
teusday,tuesday,tuesday,1,1,1.0,1
tusday,tuesday,tuesday,1,1,1.0,1
tuseday,tuesday,tuesday,1,1,1.0,1
vitiorian,victorian,victorian,1,1,1.0,2
wdendsdy,wednesday,wedndsday,0,0,0.0,3
wedensday,wednesday,wednesday,1,1,1.0,1
wensday,wednesday,wednesday,1,1,1.0,2
wesh,welsh,was,0,0,0.0,1
exrays,x-rays,x-rays,1,1,1.0,2
i,a,i,0,0,0.0,1
ah,a,ah,0,0,0.0,1
an,a,an,0,0,0.0,1
and,a,and,0,0,0.0,2
are,a,are,0,0,0.0,2
as,a,as,0,0,0.0,1
the,a,the,0,0,0.0,3
aquiver,a-quiver,aquiver,0,0,0.0,1
abit,a_bit,it,0,0,0.0,1
afew,a_few,few,0,0,0.0,1
alitl,a_little,all,0,0,0.0,3
alittle,a_little,little,0,1,0.5,1
along,a_long,along,0,0,0.0,1
alook,a_look,look,0,0,0.0,1
alot,a_lot,alot,0,0,0.0,1
alote,a_lot,alone,0,0,0.0,2
lot,a_lot,lot,0,0,0.0,2
amusum,a_museum,amuse,0,1,0.5,2
abbatoir,abattoir,abattoir,1,1,1.0,2
abhorence,abhorrence,abhorrence,1,1,1.0,1
abbility,ability,ability,1,1,1.0,1
abilaty,ability,ability,1,1,1.0,1
abillity,ability,ability,1,1,1.0,1
abilty,ability,ability,1,1,1.0,1
ablity,ability,ability,1,1,1.0,1
aball,able,all,0,0,0.0,2
abel,able,abel,0,0,0.0,1
abule,able,able,1,1,1.0,1
alb,able,alb,0,0,0.0,2
able_bodied,able-bodied,able-bodied,1,1,1.0,1
a_belt,about,belt,0,0,0.0,3
a_bot,about,about,1,1,1.0,2
a_bout,about,about,1,1,1.0,1
a_but,about,about,1,1,1.0,2
a_pelt,about,aspect,0,0,0.0,4
aboat,about,about,1,1,1.0,1
aboit,about,about,1,1,1.0,1
abont,about,about,1,1,1.0,1
aboo,about,about,1,1,1.0,2
abot,about,about,1,1,1.0,1
abote,about,about,1,1,1.0,2
abou,about,about,1,1,1.0,1
abought,about,about,1,1,1.0,2
abould,about,would,0,1,0.5,2
abound,about,abound,0,0,0.0,2
abowt,about,about,1,1,1.0,1
abunt,about,but,0,1,0.5,2
abuot,about,about,1,1,1.0,1
ad,about,ad,0,0,0.0,4
adeaut,about,death,0,0,0.0,3
adot,about,not,0,1,0.2,2
adout,about,about,1,1,1.0,1
arand,about,and,0,0,0.0,4
bout,about,bout,0,0,0.0,1
of,about,of,0,0,0.0,4
out,about,out,0,0,0.0,2
to,about,to,0,0,0.0,4
urbote,about,wrote,0,0,0.0,4
a,above,a,0,0,0.0,4
a_barth,above,apart,0,0,0.0,5
a_beyied,above,obeyed,0,0,0.0,5
a_bof,above,about,0,1,0.5,3
a_bother,above,another,0,0,0.0,4
a_bueve,above,above,1,1,1.0,3
a_buth,above,about,0,0,0.0,4
a_buve,above,above,1,1,1.0,2
abaeth,above,about,0,0,0.0,4
abahe,above,above,1,1,1.0,2
aboat,above,about,0,1,0.3333333333333333,2
aboer,above,about,0,1,0.3333333333333333,2
abofe,above,above,1,1,1.0,1
abost,above,about,0,1,0.25,2
abou,above,about,0,1,0.25,2
about,above,about,0,0,0.0,2
abouth,above,abouth,0,0,0.0,3
abouve,above,above,1,1,1.0,1
abowe,above,above,1,1,1.0,1
abuf,above,but,0,0,0.0,3
abuov,above,about,0,1,0.5,2
abuve,above,above,1,1,1.0,1
abve,above,have,0,1,0.3333333333333333,1
adove,above,above,1,1,1.0,1
aduv,above,and,0,0,0.0,3
alowe,above,alowe,0,0,0.0,2
aovere,above,over,0,1,0.2,3
apuve,above,have,0,1,0.5,2
bealove,above,beloved,0,0,0.0,3
beneath,above,beneath,0,0,0.0,6
buft,above,but,0,0,0.0,4
dong,above,dong,0,0,0.0,4
obove,above,above,1,1,1.0,1
ubove,above,above,1,1,1.0,1
unbove,above,above,1,1,1.0,2
uove,above,have,0,0,0.0,2
upbudh,above,budh,0,0,0.0,5
upbuve,above,upbuy,0,0,0.0,3
urborth,above,unworth,0,0,0.0,5
a_broad,abroad,abroad,1,1,1.0,1
abraod,abroad,abroad,1,1,1.0,1
abrod,abroad,abroad,1,1,1.0,1
absense,absence,absence,1,1,1.0,1
absents,absence,absents,0,0,0.0,2
apsent,absent,sent,0,1,0.5,1
absolutley,absolutely,absolutely,1,1,1.0,1
absolutly,absolutely,absolutely,1,1,1.0,1
apselutely,absolutely,absolutely,1,1,1.0,2
abo,absorbed,abo,0,0,0.0,5
absorbant,absorbent,absorbent,1,1,1.0,1
absorbtion,absorption,absorption,1,1,1.0,1
abse,abstract,as,0,0,0.0,4
asurb,absurd,sure,0,1,0.25,2
abeserbed,absurd,absorbed,0,1,0.3333333333333333,4
abscered,absurd,answered,0,1,0.2,3
abserb,absurd,absorb,0,1,0.3333333333333333,2
abserbd,absurd,absurd,1,1,1.0,2
abserbed,absurd,absorbed,0,1,0.2,3
abserd,absurd,absurd,1,1,1.0,1
abserded,absurd,observed,0,1,0.25,3
absered,absurd,answered,0,0,0.0,2
abserid,absurd,absurd,1,1,1.0,2
abserred,absurd,observed,0,0,0.0,3
abserve,absurd,observe,0,0,0.0,3
abserved,absurd,observed,0,0,0.0,3
abseved,absurd,observed,0,0,0.0,3
absevered,absurd,severed,0,0,0.0,4
absorb,absurd,absorb,0,0,0.0,2
absorbd,absurd,absorb,0,1,0.25,2
absorbed,absurd,absorbed,0,0,0.0,3
absord,absurd,absorb,0,1,0.5,1
absored,absurd,absorbed,0,1,0.2,2
absred,absurd,asked,0,0,0.0,2
absurb,absurd,absurd,1,1,1.0,1
absurbe,absurd,absurd,1,1,1.0,2
absurbed,absurd,absorbed,0,1,0.5,2
absurded,absurd,absurd,1,1,1.0,2
absured,absurd,assured,0,1,0.5,1
absurred,absurd,absurd,1,1,1.0,2
aburd,absurd,about,0,1,0.5,1
aburve,absurd,above,0,0,0.0,3
adsurbed,absurd,adsorbed,0,0,0.0,3
apserved,absurd,served,0,0,0.0,4
apubed,absurd,caused,0,0,0.0,4
obsurd,absurd,absurd,1,1,1.0,1
obsured,absurd,obscured,0,0,0.0,2
abundence,abundance,abundance,1,1,1.0,1
abundent,abundant,abundant,1,1,1.0,1
abouse,abuse,about,0,1,0.25,1
accademic,academic,academic,1,1,1.0,1
acedemic,academic,academic,1,1,1.0,1
academicly,academically,academic,0,1,0.5,2
accademically,academically,academically,1,1,1.0,1
acceed,accede,accede,1,1,1.0,1
acellerate,accelerate,accelerate,1,1,1.0,2
achsends,accents,ascends,0,0,0.0,3
acept,accept,accept,1,1,1.0,1
axcept,accept,except,0,1,0.5,1
except,accept,except,0,0,0.0,2
acceptable,acceptable,acceptable,1,1,1.0,0
accepball,acceptable,acephal,0,0,0.0,3
acceptably,acceptable,acceptably,0,0,0.0,1
acceptiable,acceptable,acceptable,1,1,1.0,1
acceptible,acceptable,acceptable,1,1,1.0,1
aceptable,acceptable,acceptable,1,1,1.0,1
aceptible,acceptable,acceptable,1,1,1.0,2
acetable,acceptable,acceptable,1,1,1.0,2
ackceptable,acceptable,acceptable,1,1,1.0,1
ackeptable,acceptable,acceptable,1,1,1.0,1
acksecetable,acceptable,accustom,0,0,0.0,4
ackseptable,acceptable,acceptable,1,1,1.0,2
acseptable,acceptable,acceptable,1,1,1.0,1
actable,acceptable,actable,0,0,0.0,3
actceptable,acceptable,acceptable,1,1,1.0,1
actseptable,acceptable,acceptable,1,1,1.0,2
actsepterable,acceptable,acts,0,0,0.0,4
asseptable,acceptable,acceptable,1,1,1.0,2
axceptable,acceptable,acceptable,1,1,1.0,1
axceptiable,acceptable,acceptable,1,1,1.0,2
axeptable,acceptable,acceptable,1,1,1.0,2
ecceptable,acceptable,acceptable,1,1,1.0,1
exactible,acceptable,exactly,0,0,0.0,6
exceptable,acceptable,acceptable,1,1,1.0,2
excepteable,acceptable,except,0,0,0.0,3
exceptial,acceptable,except,0,0,0.0,5
exceptible,acceptable,except,0,0,0.0,3
exsaptible,acceptable,exemptible,0,0,0.0,5
exseptable,acceptable,except,0,0,0.0,3
exsestible,acceptable,existible,0,0,0.0,5
exzeptable,acceptable,except,0,0,0.0,3
acceptence,acceptance,acceptance,1,1,1.0,1
acepted,accepted,accepted,1,1,1.0,1
excepted,accepted,excepted,0,0,0.0,2
execpted,accepted,expected,0,0,0.0,3
acess,access,access,1,1,1.0,1
accessability,accessibility,accessibility,1,1,1.0,1
accesible,accessible,accessible,1,1,1.0,1
accessable,accessible,accessible,1,1,1.0,1
accesing,accessing,accessing,1,1,1.0,1
accesion,accession,accession,1,1,1.0,1
a_canet,accident,account,0,0,0.0,4
acadent,accident,accident,1,1,1.0,2
acats,accident,cts,0,0,0.0,6
accdient,accident,accident,1,1,1.0,1
accedent,accident,accident,1,1,1.0,1
accend,accident,accend,0,0,0.0,3
accicent,accident,accident,1,1,1.0,1
acciendent,accident,accident,1,1,1.0,2
accierdent,accident,accident,1,1,1.0,2
accsident,accident,accident,1,1,1.0,1
accxident,accident,accident,1,1,1.0,1
acddent,accident,accident,1,1,1.0,2
acdend,accident,added,0,0,0.0,3
acdent,accident,accent,0,1,0.5,2
acedcedt,accident,acts,0,0,0.0,4
acedent,accident,accident,1,1,1.0,2
aciadent,accident,accident,1,1,1.0,2
aciddent,accident,accident,1,1,1.0,2
acident,accident,accident,1,1,1.0,1
aciedent,accident,accident,1,1,1.0,2
acist,accident,last,0,0,0.0,4
acs,accident,acs,0,0,0.0,5
acsdent,accident,accident,1,1,1.0,2
acsedent,accident,accident,1,1,1.0,2
acsident,accident,accident,1,1,1.0,1
addinent,accident,addiment,0,0,0.0,3
advainet,accident,advance,0,0,0.0,5
afanat,accident,afloat,0,0,0.0,6
agisted,accident,listed,0,0,0.0,6
akcdent,accident,accident,1,1,1.0,2
aken,accident,and,0,0,0.0,4
ancident,accident,ancient,0,1,0.3333333333333333,1
and,accident,and,0,0,0.0,5
andandn,accident,andante,0,0,0.0,6
andet,accident,and,0,0,0.0,4
andexns,accident,andes,0,0,0.0,5
andient,accident,ancient,0,0,0.0,3
andint,accident,anoint,0,0,0.0,4
andires,accident,andres,0,0,0.0,5
anitharent,accident,another,0,0,0.0,6
anteght,accident,anteact,0,0,0.0,6
asabed,accident,asked,0,0,0.0,6
asadun,accident,action,0,0,0.0,5
ascended,accident,ascended,0,0,0.0,5
asde,accident,and,0,0,0.0,4
asden,accident,seen,0,0,0.0,4
asdent,accident,sent,0,0,0.0,3
ased,accident,and,0,0,0.0,4
asedend,accident,ascend,0,0,0.0,4
aserdent,accident,serpent,0,0,0.0,3
asident,accident,aside,0,1,0.5,2
askedent,accident,accident,1,1,1.0,3
askendent,accident,ascendent,0,0,0.0,4
asterdet,accident,astern,0,0,0.0,5
ataren,accident,taken,0,0,0.0,5
axcident,accident,accident,1,1,1.0,1
axed,accident,axed,0,0,0.0,4
axedent,accident,exedent,0,1,0.5,3
axedents,accident,accidents,0,1,0.5,4
axedet,accident,waxed,0,0,0.0,4
axerdent,accident,ardent,0,0,0.0,3
axident,accident,accident,1,1,1.0,2
axidint,accident,abiding,0,1,0.5,3
axs,accident,and,0,0,0.0,5
axseadent,accident,accident,1,1,1.0,4
castan,accident,cast,0,0,0.0,6
esadend,accident,extend,0,0,0.0,5
exded,accident,ended,0,0,0.0,6
exedelt,accident,exedent,0,0,0.0,5
exedent,accident,exedent,0,0,0.0,4
exiedent,accident,extent,0,0,0.0,4
harcent,accident,recent,0,0,0.0,4
sedent,accident,sedent,0,0,0.0,4
xedet,accident,feet,0,0,0.0,5
accidently,accidentally,accidently,0,0,0.0,2
accmodate,accommodate,accommodate,1,1,1.0,2
accodate,accommodate,accurate,0,0,0.0,3
accomadate,accommodate,accommodate,1,1,1.0,2
accomadite,accommodate,accommodate,1,1,1.0,3
accomdate,accommodate,accommodate,1,1,1.0,2
accomidate,accommodate,accommodate,1,1,1.0,2
accommadate,accommodate,accommodate,1,1,1.0,1
accommdate,accommodate,accommodate,1,1,1.0,1
accommedate,accommodate,accommodate,1,1,1.0,1
accommidate,accommodate,accommodate,1,1,1.0,1
accommodation,accommodate,accommodation,0,0,0.0,3
accommondate,accommodate,accommodate,1,1,1.0,1
accomnadate,accommodate,accommodate,1,1,1.0,2
accomnodate,accommodate,accommodate,1,1,1.0,1
accomodat,accommodate,accommodate,1,1,1.0,2
accomodate,accommodate,accomodate,0,0,0.0,1
accomodaty,accommodate,accommodate,1,1,1.0,2
accomode,accommodate,account,0,1,0.5,3
accomodiate,accommodate,accommodate,1,1,1.0,2
accomondate,accommodate,accommodate,1,1,1.0,2
accondate,accommodate,account,0,1,0.5,3
acomadate,accommodate,accommodate,1,1,1.0,3
acomidate,accommodate,accommodate,1,1,1.0,3
acommodate,accommodate,accommodate,1,1,1.0,1
acommodiate,accommodate,accommodate,1,1,1.0,2
acomodate,accommodate,accommodate,1,1,1.0,2
aconadate,accommodate,accommodate,1,1,1.0,4
acromodate,accommodate,accommodate,1,1,1.0,2
eccommodate,accommodate,accommodate,1,1,1.0,1
accamadation,accommodation,accommodation,1,1,1.0,3
accamation,accommodation,acclamation,0,1,0.2,4
accomadation,accommodation,accommodation,1,1,1.0,2
accomdation,accommodation,accommodation,1,1,1.0,2
accomdition,accommodation,accommodation,1,1,1.0,3
accomedation,accommodation,accommodation,1,1,1.0,2
accomidation,accommodation,accommodation,1,1,1.0,2
accommadation,accommodation,accommodation,1,1,1.0,1
accommadition,accommodation,accommodation,1,1,1.0,2
accommidation,accommodation,accommodation,1,1,1.0,1
accommodiation,accommodation,accommodation,1,1,1.0,1
accommtation,accommodation,accommodation,1,1,1.0,2
accomodation,accommodation,accommodation,1,1,1.0,1
accondutelion,accommodation,accounted,0,1,0.25,6
acomadation,accommodation,accommodation,1,1,1.0,3
acomedation,accommodation,accommodation,1,1,1.0,3
acomidation,accommodation,abomination,0,1,0.5,3
acommadition,accommodation,accommodation,1,1,1.0,3
acommodation,accommodation,accommodation,1,1,1.0,1
acomodation,accommodation,accommodation,1,1,1.0,2
addcomadiation,accommodation,adjunction,0,0,0.0,5
comadation,accommodation,condition,0,0,0.0,4
ecomodation,accommodation,accommodation,1,1,1.0,3
accomodations,accommodations,accomodations,0,0,0.0,1
acompanied,accompanied,accompanied,1,1,1.0,1
accompanimen,accompaniment,accompaniment,1,1,1.0,1
acompany,accompany,company,0,1,0.5,1
accampaninesing,accompanying,accompanied,0,1,0.5,5
accmpaning,accompanying,accompanying,1,1,1.0,2
accominating,accompanying,accombination,0,0,0.0,3
accommampaning,accompanying,awakening,0,0,0.0,4
accompagnying,accompanying,accompanying,1,1,1.0,1
accompaining,accompanying,accompanying,1,1,1.0,2
accompanied,accompanying,accompanied,0,0,0.0,3
accompaning,accompanying,accompanying,1,1,1.0,1
accompanining,accompanying,accompanying,1,1,1.0,2
accompanning,accompanying,accompanying,1,1,1.0,1
accompany,accompanying,accompany,0,0,0.0,3
accompaying,accompanying,accompanying,1,1,1.0,1
accompenied,accompanying,accompanied,0,0,0.0,4
accompening,accompanying,accompanying,1,1,1.0,2
accompied,accompanying,accompanied,0,0,0.0,5
accomping,accompanying,according,0,1,0.3333333333333333,3
accompining,accompanying,accompanying,1,1,1.0,2
accompning,accompanying,accompanying,1,1,1.0,2
accompnying,accompanying,accompanying,1,1,1.0,1
accomponing,accompanying,accompanying,1,1,1.0,2
accomponying,accompanying,accompanying,1,1,1.0,1
accompy,accompanying,accompany,0,0,0.0,5
accompying,accompanying,accompanying,1,1,1.0,2
accompyning,accompanying,accompanying,1,1,1.0,2
acconpaning,accompanying,accompanying,1,1,1.0,2
acconpenying,accompanying,accompanying,1,1,1.0,2
accopaning,accompanying,accompanying,1,1,1.0,2
accumpanying,accompanying,accompanying,1,1,1.0,1
accumptaining,accompanying,accompanying,1,1,1.0,4
acommpanying,accompanying,accompanying,1,1,1.0,2
acompamion,accompanying,companion,0,0,0.0,5
acompanied,accompanying,accompanied,0,0,0.0,4
acompaning,accompanying,accompanying,1,1,1.0,2
acompanning,accompanying,accompanying,1,1,1.0,2
acompanying,accompanying,accompanying,1,1,1.0,1
acompning,accompanying,accompanying,1,1,1.0,3
acumaning,accompanying,assuming,0,0,0.0,4
companying,accompanying,company,0,1,0.3333333333333333,2
occompanying,accompanying,accompanying,1,1,1.0,1
acomplice,accomplice,accomplice,1,1,1.0,1
acomplish,accomplish,accomplish,1,1,1.0,1
acalern,accomplished,acaleph,0,0,0.0,5
acaulle,accomplished,called,0,0,0.0,5
accamplish,accomplished,accomplish,0,1,0.5,3
accaplished,accomplished,accomplished,1,1,1.0,2
accomhed,accomplished,accounted,0,0,0.0,4
accomplish,accomplished,accomplish,0,0,0.0,2
aclimplised,accomplished,acclimatized,0,0,0.0,3
aclomplished,accomplished,accomplished,1,1,1.0,1
aco,accomplished,and,0,0,0.0,9
acolpleshed,accomplished,asleep,0,0,0.0,3
acolplished,accomplished,accomplished,1,1,1.0,2
acombished,accomplished,accomplished,1,1,1.0,3
acompilsh,accomplished,accomplish,0,1,0.5,4
acomplised,accomplished,accomplished,1,1,1.0,2
acomplished,accomplished,accomplished,1,1,1.0,1
acomplisht,accomplished,accomplish,0,1,0.3333333333333333,3
acomplshed,accomplished,accomplished,1,1,1.0,2
aconase,accomplished,against,0,0,0.0,5
aconplised,accomplished,accomplished,1,1,1.0,3
aconplish,accomplished,accomplish,0,1,0.5,4
acoplished,accomplished,accomplished,1,1,1.0,2
acoumpish,accomplished,accomplish,0,1,0.25,5
acumlished,accomplished,accumulated,0,0,0.0,3
acuplished,accomplished,unpolished,0,0,0.0,3
apcomplished,accomplished,accomplished,1,1,1.0,1
comdash,accomplished,comdata,0,0,0.0,5
acaurtens,accordance,according,0,0,0.0,6
accordars,accordance,according,0,1,0.25,3
accordence,accordance,accordance,1,1,1.0,1
accordences,accordance,according,0,1,0.5,2
accordense,accordance,according,0,1,0.3333333333333333,2
accordince,accordance,according,0,1,0.5,1
accrdanse,accordance,accordance,1,1,1.0,2
acdone,accordance,done,0,0,0.0,4
acoadens,accordance,accident,0,0,0.0,5
acoradance,accordance,accordance,1,1,1.0,2
acordance,accordance,accordance,1,1,1.0,1
acordence,accordance,accordance,1,1,1.0,2
acordenin,accordance,according,0,1,0.2,4
acordens,accordance,according,0,0,0.0,4
acordense,accordance,according,0,1,0.3333333333333333,3
acordenst,accordance,according,0,1,0.25,4
acordise,accordance,according,0,0,0.0,4
acordounse,accordance,accord,0,1,0.3333333333333333,4
acorduse,accordance,according,0,1,0.25,4
acorrdance,accordance,accordance,1,1,1.0,2
acorrdens,accordance,according,0,0,0.0,5
acourdance,accordance,accordance,1,1,1.0,2
adcordence,accordance,accordance,1,1,1.0,2
arcordance,accordance,accordance,1,1,1.0,1
arroduce,accordance,produce,0,0,0.0,5
condar,accordance,monday,0,0,0.0,4
acording,according,according,1,1,1.0,1
acordingly,accordingly,accordingly,1,1,1.0,1
o,accordingly,o,0,0,0.0,10
acordian,accordion,according,0,1,0.5,2
acount,account,account,1,1,1.0,1
acounts,accounts,accounts,1,1,1.0,1
accewed,accrued,accepted,0,1,0.25,2
accrewed,accrued,accrued,1,1,1.0,2
